County,Live_birth,Pregnancy_loss,Currently_pregnant,Ever_pregnant,Count
Mombasa,5.4,1.0,2.9,10.8,143
Kwale,11.5,2.9,3.7,14.8,118
Kilifi,10.3,1.3,3.8,12.5,224
Tana River,12.4,1.4,5.2,17.6,27
Lamu,11.5,0.8,1.9,13.7,24
Taita/Taveta,18.4,1.8,1.8,18.4,30
Garissa,11.6,0.2,4.2,14.8,85
Wajir,7.5,0.5,5.9,10.8,45
Mandera,11.4,0.4,3.0,14.6,49
Marsabit,20.6,5.2,9.0,29.4,20
Isiolo,13.6,0.4,3.1,16.7,27
Meru,16.9,1.0,7.6,23.6,206
Tharaka-Nithi,9.1,0.0,0.8,9.9,39
Embu,9.1,0.4,4.9,14.4,49
Kitui,9.2,0.0,0.0,9.2,142
Machakos,9.5,0.0,1.7,11.3,178
Makueni,8.2,0.0,2.9,11.1,151
Nyandarua,4.3,0.2,1.5,5.2,93
Nyeri,4.5,0.0,0.0,4.5,74
Kirinyaga,7.3,0.0,0.0,7.3,64
Murangâ€™a,3.8,0.0,3.6,7.4,139
Kiambu,8.3,0.0,3.6,11.9,267
Turkana,15.0,0.0,4.4,18.5,56
West Pokot,32.2,2.7,6.1,36.3,82
Samburu,41.5,5.2,8.7,50.1,28
Trans Nzoia,14.8,1.9,2.6,17.8,146
Uasin Gishu,7.9,1.9,5.3,10.7,158
Elgeyo/Marakwet,9.6,1.4,2.5,12.1,32
Nandi,9.7,0.8,0.0,10.5,118
Baringo,14.0,1.5,6.3,20.3,86
Laikipia,8.6,0.6,1.3,9.1,69
Nakuru,13.6,0.8,3.7,17.3,283
Narok,25.9,2.5,3.0,28.1,176
Kajiado,20.3,0.0,3.0,21.8,97
Kericho,14.5,0.0,0.0,14.5,135
Bomet,7.2,1.2,1.2,9.0,152
Kakamega,12.3,0.5,2.8,15.1,328
Vihiga,3.9,0.0,4.6,7.7,113
Bungoma,14.8,1.8,4.2,18.6,294
Busia,13.1,2.9,3.0,18.3,149
Siaya,18.4,0.5,3.3,20.9,130
Kisumu,9.2,0.0,3.8,11.1,157
Homa Bay,18.7,2.6,2.9,23.2,159
Migori,20.4,0.6,4.0,23.0,159
Kisii,13.7,0.4,1.5,14.2,192
Nyamira,14.7,0.0,1.5,15.5,81
Nairobi City,8.0,0.0,0.4,8.4,452
